,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,
,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,,
,Lupin Ltd,LUPIN,LUPIN LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,"Lyka Labs Ltd.,",LYKALABS,LYKA LABS LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,
,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN,Hybrid Financial Services Ltd,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,"Mafatlal Industries Ltd.,",MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,"Maharashtra Scooters Ltd.,",MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Investment Company,Financial Services,Financial Services,Finance,Investment Company,,
,"Majestic Auto Ltd.,",MAJESAUT,MAJESTIC AUTO LTD.-$,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,"Manali Petrochemicals Ltd.,",MANALIPETC,MANALI PETROCHEMICAL LTD.,Petrochemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,,
,"Baroda Rayon Corpn. Ltd.,",BARODARY,BARODA RAYON CORPORATION LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Life Insurance,Financial Services,Financial Services,Insurance,Life Insurance,,
,Mid India Industries Limited,MIDINDIA,MID INDIA INDUSTRIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Mirc Electronics Ltd,MIRCELECTR,MIRC ELECTRONICS LTD.,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,,
,"Century Enka Ltd.,",CENTENKA,CENTURY ENKA LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Airline,Services,Services,Transport Services,Airline,,
,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,"M.R.F. Ltd.,",MRF,MRF LTD.,Tyres & Rubber Products,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,,
,HeidelbergCement India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,
,NCC Limited,NCC,NCC Limited,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,Vedanta Limited,VEDL,Vedanta Limited,Diversified Metals,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,,
,"Nahar Spinning Mills Ltd.,",NAHARSPING,NAHAR SPINNING MILLS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,National Peroxide Ltd.,NATPEROX,NATIONAL PEROXIDE LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,"Grasim Industries Ltd.,",GRASIM,GRASIM INDUSTRIES LTD.,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,
,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,"NIIT Ltd.,",NIITLTD,NIIT LTD.,Education,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,,
,Jaykay Enterprises Limited,JAYKAY,JAYKAY ENTERPRISES LTD.,Depositories- Clearing Houses and Other Intermediaries,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",,
,"Nirlon Limited,",NIRLON,NIRLON LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
